"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Negative Feedback","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Tags"
"9/21/2022 8:05 pm","7145771988080954630","TikTok","Post","Video","discoveringdata"," ","https://www.tiktok.com/@discoveringdata/video/7145771988080954630?utm_campaign=tt4d_open_api&utm_source=7036369194396418050","Metadata saves you $$$ #discoveringdata E043 with Salma Bakouk #dataobservability #dataquality #business #data #podcast",,"","","","109","","","","","0","0","0","","","","","","","0","0","","","","","","","","","","115","","","","","","","","","0.03","0","115","0","0","0","0","","","","","","","","","8.03","E042-E043 Salma Bakouk"
"10/26/2022 9:36 pm","18240822754127051","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/CkLH4ewNUgC/","14 - What's missing in your data warehouse #discoveringdata E046 with Chad Sanderson 🎧 Listen https://bit.ly/3eeykaZ #datawarehouse #podcast",,"114","114","","116","116","","","0.88%","1","1","1","","","","","","","0","0","0","","","","","","","","","114","114","","","","","","","","","","","","","","","","","","","","","","","","E046 Chad Sanderson"
"10/10/2022 7:12 pm","17943462134362927","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/Cjhqrn8P-8M/","What’s data therapy? #discoveringdata E045 with Ashleigh Faith 🎧 Listen https://bit.ly/3SQOWnZ #datatherapy #datatranslators #business #data #podcast",,"114","114","","113","113","","","0%","0","0","0","","","","","","","0","0","0","","","","","","","","","114","114","","","","","","","","","","","","","","","","","","","","","","","","E045 - Ashleigh Faith"
"9/21/2022 8:55 pm","7145784881727982854","TikTok","Post","Video","discoveringdata"," ","https://www.tiktok.com/@discoveringdata/video/7145784881727982854?utm_campaign=tt4d_open_api&utm_source=7036369194396418050","Connecting data and people #discoveringdata E043 with Salma Bakouk #dataobservability #dataquality #business #data #podcast",,"","","","106","","","","","0","0","0","","","","","","","0","0","","","","","","","","","","114","","","","","","","","","0.03","0","114","0","0","0","0","","","","","","","","","7.43","E042-E043 Salma Bakouk"
"9/1/2022 6:55 pm","18140256181282554","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/Ch9UhNforZw/","The true POWER of a KNOWLEDGE graph #discoveringdata E040 with Jessica Talisman #taxonomy #ontology #business #data #podcast",,"114","114","","112","112","","","0.88%","1","0","0","","","","","","","1","0","0","","","","","","","","","114","114","","","","","","","","","","","","","","","","","","","","","","","","E040 Jessica Talisman, episode-40"
"8/29/2022 1:16 pm","9ES2sqzeUts","YouTube","Post","Video","Data Foundations","Loris Marini","https://www.youtube.com/watch?v=9ES2sqzeUts","FASTER search with ONTOLOGIES #discoveringdata E040 with Jessica Talisman 🎧 Listen https://bit.ly/3KgXW2t #business #data #podcast",,"","","","","","","","","0","0","0","0","","","","","","0","0","","","0","","","","0","0","0","114","","","","","","","","","","","","","","","","24","","","","","0","0","0","","E040 Jessica Talisman, episode-40"
"10/15/2022 10:20 pm","17957958254107654","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/Cju4Kw-MKCf/","Let me repeat that back to you #discoveringdata E045 with Ashleigh Faith 🎧 Listen https://bit.ly/3SQOWnZ #datatherapy #datatranslators #business #data #podcast",,"113","113","","115","115","","","0%","0","0","0","","","","","","","0","0","0","","","","","","","","","113","113","","","","","","","","","","","","","","","","","","","","","","","","E045 - Ashleigh Faith"
"9/15/2022 6:52 pm","17978144077658100","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/CihXZFQNUBM/","The nightmare of data teams #discoveringdata E043 with Salma Bakouk #dataobservability #dataquality #business #data #podcast",,"112","112","","112","112","","","0.89%","1","0","0","","","","","","","1","0","0","","","","","","","","","112","112","","","","","","","","","","","","","","","","","","","","","","","","E042-E043 Salma Bakouk"
"8/31/2022 12:06 pm","17890891940632576","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/Ch6A6Vhq69t/","Vulnerability and useful DATA PRODUCTS #discoveringdata E039 with Bill Schmarzo | #business #data #podcast @schmarzo",,"112","112","","111","111","","","0.89%","1","0","0","","","","","","","1","0","0","","","","","","","","","112","112","","","","","","","","","","","","","","","","","","","","","","","","episode-39"
"10/16/2022 6:51 pm","17955817391113463","Instagram","Reel","Video","discovering_data","Loris Marini","https://www.instagram.com/reel/CjxFDDPPw9u/","The environment for your data therapy session #discoveringdata E045 with Ashleigh Faith 🎧 Listen https://bit.ly/3SQOWnZ #datatherapy #datatranslators #business #data #podcast",,"111","111","","111","111","","","0%","0","0","0","","","","","","","0","0","0","","","","","","","","","111","111","","","","","","","","","","","","","","","","","","","","","","","","E045 - Ashleigh Faith"
